,year,workstat,age,divorce,widowed,educ,Total no of Children,income,region convert,attend convert,owngun convert,tvhours converted,vhappy,mothfath16,black,female,blackfemale,occattend,regattend,unem10,happy
1,1994,1,46,2,0,12,5,3,2,2,2,2,0,1,1,1,1,1,0,1,1
2,1994,8,22,0,0,12,0,7,2,5,2,3,1,0,1,0,0,0,0,0,1
3,1994,8,29,0,0,12,0,4,2,6,0,1,0,0,1,1,1,0,1,2,1
4,1994,8,42,1,0,8,0,4,2,1,2,3,0,0,0,0,0,0,0,1,0
5,1994,9,36,2,0,13,2,3,2,1,0,-1,0,0,1,1,1,0,0,0,0
6,1994,9,43,2,0,15,0,6,2,2,0,0,0,0,1,1,1,1,0,2,1
7,1994,8,20,0,0,9,2,5,2,6,0,10,0,1,0,1,0,0,1,2,0
8,1994,8,44,2,0,12,0,3,2,6,2,4,1,1,1,0,0,0,1,0,1
9,1994,8,42,0,0,12,3,6,2,2,0,2,0,0,1,1,1,1,0,2,1
10,1994,8,46,2,0,12,1,4,2,6,0,-1,0,1,1,1,1,0,1,1,1
11,1994,8,30,2,0,0,0,7,2,2,2,2,0,0,0,1,0,1,0,1,1
12,1994,8,75,2,0,19,0,6,2,1,2,2,0,1,0,1,0,0,0,0,1
13,1994,8,51,0,0,16,0,6,2,2,2,2,1,1,0,0,0,1,0,0,1
14,1994,8,50,0,0,16,0,6,2,5,0,-1,1,1,0,0,0,0,0,0,1
15,1994,8,73,2,0,18,0,6,2,3,0,1,0,1,0,0,0,1,0,2,1
16,1994,8,41,2,0,16,0,6,2,1,0,1,0,1,0,1,0,0,0,2,1
17,1994,8,64,0,0,18,2,6,2,2,2,0,0,1,0,1,0,1,0,0,1
18,1994,1,59,0,0,16,2,6,2,1,0,3,1,0,0,1,0,0,0,2,1
19,1994,4,35,2,0,12,0,7,2,2,1,3,0,1,0,0,0,1,0,2,0
20,1994,9,46,0,0,16,0,6,2,0,0,2,0,1,0,0,0,0,0,2,1
21,1994,9,47,2,0,16,0,3,2,6,0,3,0,0,0,0,0,0,1,2,1
22,1994,9,74,2,0,20,0,6,2,0,0,-1,0,1,0,0,0,0,0,0,0
23,1994,8,44,2,0,12,0,6,2,0,0,4,0,1,0,0,0,0,0,2,1
24,1994,4,52,2,0,16,0,7,2,0,0,-1,0,1,0,0,0,0,0,1,1
25,1994,8,74,2,0,16,0,6,2,0,2,1,0,1,0,0,0,0,0,0,1
26,1994,8,44,1,0,8,0,7,2,0,0,4,0,0,0,0,0,0,0,2,1
27,1994,3,0,2,0,12,0,2,2,5,2,4,0,0,0,1,0,0,0,0,1
28,1994,1,0,2,0,8,0,1,2,1,2,8,0,1,1,1,1,0,0,1,0
29,1994,1,0,0,0,12,1,6,2,5,0,2,0,1,0,1,0,0,0,2,1
30,1994,8,64,2,0,17,1,7,2,4,0,2,0,0,1,1,1,1,0,2,1
31,1994,1,41,1,0,13,0,3,2,1,2,2,0,0,1,1,1,0,0,0,1
